"Aktivitet","Start_dato","Slut_dato","Resourcer"
"1. Forretningsforståelse","2021-09-01","2021-09-13",""
"1.1 Afgør forretningsmål","2021-09-01","2021-09-05",""
"1.2 Vurdere situation","2021-09-05","2021-09-09",""
"1.3 Afgøre data mål til koncept","2021-09-09","2021-09-13",""
"2. Data forståelse","2021-09-13","2021-10-03",""
"2.1 Dataindhentning","2021-09-13","2021-09-17",""
"2.2. Beskriv data","2021-09-17","2021-09-21",""
"2.2.1 Data kvalitet","2021-09-21","2021-09-25",""
"2.3 Udforsk data","2021-09-25","2021-09-29",""
"2.4 Vurdere driftsløsning til metodik","2021-09-29","2021-10-03",""
"3. Dataforberedelse","2021-10-04","2021-10-28",""
"3.1. Udvælg data","2021-10-04","2021-10-08",""
"3.2 Rengør data","2021-10-08","2021-10-12",""
"3.3 Konstruere data","2021-10-12","2021-10-16",""
"3.4 Integere data","2021-10-16","2021-10-20",""
"3.5 Formatere data","2021-10-20","2021-10-24",""
"3.6 Sæt data mål for metode","2021-10-24","2021-10-28",""
"4. Modellering","2021-10-28","2021-11-13",""
"4.1 Vælg model teknik","2021-10-28","2021-11-01",""
"4.2 Genere test design","2021-11-01","2021-11-05",""
"4.3 Byg model","2021-11-05","2021-11-09",""
"4.4. Vurdere model","2021-11-09","2021-11-13",""
"5. Evaluering","2021-11-13","2021-11-18",""
"5.1 Evaluer resultater","2021-11-13","2021-11-17",""
"5.1 Vurdere forløb","2021-11-17","2021-11-21",""
"5.3 Afgør videre trin","2021-11-21","2021-11-25",""
"6. Implementering","2021-11-25","2021-11-30",""
"6.1 Planlæg implementering","2021-11-25","2021-11-29",""
"6.2 Planlæg monitorering og vedlighold","2021-11-29","2021-12-03",""
"6.3 Producere rapport","2021-12-03","2021-12-07",""
"6.4 Vurdere rapport","2021-12-07","2021-12-11",""
