"Niveau_1","Niveau_2","Niveau_3","Start_dato","Slut_dato","Resourcer","Fremskridt","Niveau"
"1. Forretningsforståelse","1. Forretningsforståelse","1. Forretningsforståelse","2021.09.01","2021.09.13","",25,1
"1. Forretningsforståelse","1.1 Afgør forretningsmål","1.1 Afgør forretningsmål","2021.09.02","2021.09.14","",10,2
"1. Forretningsforståelse","1.1 Afgør forretningsmål","1.1.1 Aktiviteter","2021.09.03","2021.09.15","",11,3
"1. Forretningsforståelse","1.1 Afgør forretningsmål","1.1.1.1 Udvikle organisationskort","2021.09.04","2021.09.16","",12,4
"1. Forretningsforståelse","1.1 Afgør forretningsmål","1.1.1.2 Identificer nøglepersoner","2021.09.05","2021.09.17","",13,4
"1. Forretningsforståelse","1.1 Afgør forretningsmål","1.1.1.3 Identificer en intern sponsor","2021.09.06","2021.09.18","",14,4
"1. Forretningsforståelse","1.1 Afgør forretningsmål","1.1.1.4 Angiv, om der er en styregruppe","2021.09.07","2021.09.19","",15,4
"1. Forretningsforståelse","1.1 Afgør forretningsmål","1.1.1.5 Identificer de forretningsenheder, der er berørt af projektet","2021.09.08","2021.09.20","",16,4
"1. Forretningsforståelse","1.2 Vurdere situation","1.2 Vurdere situation","2021.09.05","2021.09.09","",87,2
"1. Forretningsforståelse","1.2 Vurdere situation","1.2.1 Identificere hardware","2021.09.06","2021.09.10","",87,3
"1. Forretningsforståelse","1.2 Vurdere situation","1.2.2 Identificere data og viden","2021.09.07","2021.09.11","",87,3
"1. Forretningsforståelse","1.2 Vurdere situation","1.2.2.1 Identificere data kilder","2021.09.08","2021.09.12","",87,4
"1. Forretningsforståelse","1.2 Vurdere situation","1.2.2.1 Identificere typer af data kilder (online, eksperter, dokumentation)","2021.09.09","2021.09.13","",87,4
"1. Forretningsforståelse","1.2 Vurdere situation","1.2.2.1 Identificere informations kilder","2021.09.10","2021.09.14","",87,4
"1. Forretningsforståelse","1.2 Vurdere situation","1.2.2.1 Identificere typer af informations kilder (online, eksperter, dokumentation)","2021.09.11","2021.09.15","",87,4
"1. Forretningsforståelse","1.2 Vurdere situation","1.2.2.1 Undersøge tilgængelig værktøjer og tekniker","2021.09.12","2021.09.16","",87,4
"1. Forretningsforståelse","1.2 Vurdere situation","1.2.2.1 Beskriv relevant baggrunds information","2021.09.13","2021.09.17","",87,4
"1. Forretningsforståelse","1.2 Vurdere situation","1.2.3 Identificere personale","2021.09.14","2021.09.18","",87,3
"1. Forretningsforståelse","1.2 Vurdere situation","1.2.4.1 Estimere data hentning omkostninger","2021.09.15","2021.09.19","",87,4
"1. Forretningsforståelse","1.2 Vurdere situation","1.2.4.2 Estimere udviklingsomkostninger","2021.09.16","2021.09.20","",87,4
"1. Forretningsforståelse","1.2 Vurdere situation","1.2.4.4 Estimere driftsomkostninger","2021.09.17","2021.09.21","",87,4
"1. Forretningsforståelse","1.2 Vurdere situation","1.2.4.3 Identicere værdiforeslag","2021.09.18","2021.09.22","",87,4
