"ID","Indeks","city","Country","Population","Last update","Time zone","addresse","longitude","latitude","postal_town","administrative_area_level_2","administrative_area_level_1","political","locality"
0,0,"Oslo","Norway",580000,"10.06.2014","Europe/Oslo","Oslo",10.7522454,59.9138688,0,0,"Oslo","none","Oslo"
1,1,"Bergen","Norway",213585,"3/15/18","Europe/Oslo","Bergen",5.3220544,60.3912628,0,0,"Vestland","none","Bergen"
2,2,"Trondheim","Norway",147139,"2/26/19","Europe/Oslo","Trondheim",10.3950528,63.4305149,0,0,"Trøndelag","none","Trondheim"
3,3,"Stavanger","Norway",121610,"3/15/18","Europe/Oslo","Stavanger",5.7331074,58.9699756,0,0,"Rogaland","none","Stavanger"
4,4,"Drammen","Norway",90722,"3/15/18","Europe/Oslo","Drammen",10.2044565,59.7440738,0,0,"Viken","none","Drammen"
5,5,"Fredrikstad","Norway",72760,"2/27/19","Europe/Oslo","Fredrikstad",10.9347012,59.2205369,0,0,"Viken","none","Fredrikstad"
6,6,"Kristiansand","Norway",63814,"2/26/19","Europe/Oslo","Kristiansand",8.0182064,58.1599119,0,0,"Agder","none","Kristiansand"
7,7,"Sandnes","Norway",63032,"4/26/17","Europe/Oslo","Sandnes",5.7329455,58.8532585,0,0,"Rogaland","none","Sandnes"
8,8,"Tromsø","Norway",52436,"5/20/19","Europe/Oslo","Tromsø",18.9553239,69.6492047,0,0,"Troms og Finnmark fylke","none","Tromsø"
9,9,"Sarpsborg","Norway",52159,"4/26/17","Europe/Oslo","Sarpsborg",11.1094028,59.2840729,0,0,"Viken","none","Sarpsborg"
10,10,"Skien","Norway",50595,"12.02.2016","Europe/Oslo","Skien",9.6127694,59.1881606,0,"Skien Municipality","Vestfold og Telemark","none","none"
11,11,"Ålesund","Norway",44096,"12.02.2016","Europe/Oslo","Ålesund",6.1494821,62.4722284,0,0,"Møre og Romsdal","none","Alesund"
12,12,"Sandefjord","Norway",42654,"9/20/17","Europe/Oslo","Sandefjord",10.2165948,59.1313095,0,0,"Vestfold og Telemark","none","Sandefjord"
13,13,"Haugesund","Norway",40321,"03.01.2012","Europe/Oslo","Haugesund",5.2679869,59.413581,0,0,"Rogaland","none","Haugesund"
14,14,"Tønsberg","Norway",38914,"4/26/17","Europe/Oslo","Tønsberg",10.3037633,59.364988,0,"Tønsberg Municipality","Vestfold og Telemark","none","none"
15,15,"Moss","Norway",34492,"4/26/17","Europe/Oslo","Moss",10.6985069,59.4260491,0,"Moss","Viken","none","none"
16,16,"Porsgrunn","Norway",34377,"4/26/17","Europe/Oslo","Porsgrunn",9.6555147,59.1385567,0,0,"Vestfold og Telemark","none","Porsgrunn"
17,17,"Bodø","Norway",34073,"12.02.2016","Europe/Oslo","Bodø",14.4150774,67.2829185,0,"Bodø Municipality","Nordland","none","none"
18,18,"Arendal","Norway",30916,"4/26/17","Europe/Oslo","Arendal",8.7724499,58.4617568,0,0,"Agder","none","Arendal"
19,19,"Hamar","Norway",29479,"12.02.2016","Europe/Oslo","Hamar",11.0679977,60.7945331,0,0,"Innlandet","none","Hamar"
20,20,"Ytrebygda","Norway",24044,"10/15/10","Europe/Oslo","Ytrebygda",5.2619943,60.291371,0,0,"none","Ytrebygda","Bergen"
21,21,"Larvik","Norway",23113,"05.08.2018","Europe/Oslo","Larvik",10.0295463,59.0538363,0,0,"Vestfold og Telemark","none","Larvik"
22,22,"Halden","Norway",21970,"12.07.2010","Europe/Oslo","Halden",11.387457,59.1329964,0,0,"Viken","none","Halden"
23,23,"Steinkjer","Norway",20000,"05.08.2018","Europe/Oslo","Steinkjer",11.4952627,64.0150193,0,0,"Trøndelag","none","Steinkjer"
24,24,"Harstad","Norway",19433,"6/18/17","Europe/Oslo","Harstad",16.5819381,68.9126078,0,"Harstad Municipality","Troms og Finnmark fylke","none","none"
25,25,"Lillehammer","Norway",19096,"4/26/17","Europe/Oslo","Lillehammer",10.4662306,61.1152713,0,0,"Innlandet","none","Lillehammer"
26,26,"Molde","Norway",18594,"4/26/17","Europe/Oslo","Molde",7.1607306,62.7372352,0,0,"Møre og Romsdal","none","Molde"
27,27,"Mo i Rana","Norway",17853,"12.07.2010","Europe/Oslo","Mo i Rana",14.141975,66.3137122,0,0,"Nordland","none","Mo i Rana"
28,28,"Kongsberg","Norway",17667,"4/26/17","Europe/Oslo","Kongsberg",9.6501891,59.6688776,0,0,"Viken","none","Kongsberg"
29,29,"Horten","Norway",17660,"4/27/17","Europe/Oslo","Horten",10.4832129,59.417084,0,0,"Vestfold og Telemark","none","Horten"
30,30,"Gjøvik","Norway",17596,"4/27/17","Europe/Oslo","Gjøvik",10.6916303,60.7954302,0,0,"Innlandet","none","Gjøvik"
31,31,"Askøy","Norway",17224,"4/27/17","Europe/Oslo","Askøy",5.0893297,60.4618726,0,"Askøy","Vestland","none","none"
32,32,"Kristiansund","Norway",16785,"4/27/17","Europe/Oslo","Kristiansund",7.7280789,63.1103346,0,0,"Møre og Romsdal","none","Kristiansund"
33,33,"Narvik","Norway",14114,"4/26/17","Europe/Oslo","Narvik",17.4272613,68.4384984,0,0,"Nordland","none","Narvik"
34,34,"Lillestrøm","Norway",14000,"12.07.2010","Europe/Oslo","Lillestrøm",11.0503785,59.9559696,0,0,"Viken","none","Lillestrøm"
35,35,"Hønefoss","Norway",13678,"12.07.2010","Europe/Oslo","Hønefoss",10.2564171,60.1682225,0,0,"Viken","none","Hønefoss"
36,36,"Ski","Norway",12513,"4/27/17","Europe/Oslo","Ski",10.9082107,59.7352058,0,0,"none","none","none"
37,37,"Elverum","Norway",12490,"12.07.2010","Europe/Oslo","Elverum",11.5624678,60.8820725,0,0,"Innlandet","none","Elverum"
38,38,"Askim","Norway",12482,"4/27/17","Europe/Oslo","Askim",11.1629005,59.5834589,0,0,"Viken","none","Askim"
39,39,"Jessheim","Norway",12365,"12.07.2010","Europe/Oslo","Jessheim",11.169393,60.1475819,0,0,"Viken","none","Jessheim"
40,40,"Alta","Norway",12077,"4/27/17","Europe/Oslo","Alta",23.2715873,69.9688853,0,"Alta","Troms og Finnmark fylke","none","none"
41,41,"Stjørdalshalsen","Norway",11416,"05.08.2018","Europe/Oslo","Stjørdalshalsen",10.9188901,63.4712373,0,0,"none","Stjørdalshalsen","Stjørdal"
42,42,"Drøbak","Norway",11363,"12.07.2010","Europe/Oslo","Drøbak",10.6307415,59.6633327,0,0,"Viken","none","Drøbak"
43,43,"Kongsvinger","Norway",11181,"12.02.2016","Europe/Oslo","Kongsvinger",11.9986691,60.192443,0,0,"Innlandet","none","Kongsvinger"
44,44,"Leirvik","Norway",11028,"12.07.2010","Europe/Oslo","Leirvik",5.5005327,59.7797664,0,0,"Vestland","none","Leirvik"
45,45,"Vennesla","Norway",10931,"1/14/19","Europe/Oslo","Vennesla",7.8096552,58.3392091,0,"Vennesla Municipality","Agder","none","none"
46,46,"Nesoddtangen","Norway",10911,"8/19/14","Europe/Oslo","Nesoddtangen",10.6594014,59.865528,0,0,"Viken","none","Nesoddtangen"
47,47,"Mandal","Norway",10143,"12.02.2016","Europe/Oslo","Mandal",7.4363914,57.8806834,0,0,"none","none","none"
48,48,"Mosjøen","Norway",9636,"11/22/15","Europe/Oslo","Mosjøen",13.1934011,65.836924,0,0,"Nordland","none","Mosjøen"
49,49,"Grimstad","Norway",9561,"4/27/17","Europe/Oslo","Grimstad",8.5948668,58.3447019,0,0,"Agder","none","Grimstad"
50,50,"Egersund","Norway",9502,"12.07.2010","Europe/Oslo","Egersund",5.9998033,58.4514216,0,0,"Rogaland","none","Egersund"
51,51,"Namsos","Norway",9035,"05.08.2018","Europe/Oslo","Namsos",11.3364042,64.5176895,0,"Namsos Municipality","Trøndelag","none","none"
52,52,"Søgne","Norway",9000,"5/24/13","Europe/Oslo","Søgne",7.7857414,58.0907773,0,0,"Agder","none","Søgne"
53,53,"Råholt","Norway",8593,"5/24/13","Europe/Oslo","Råholt",11.1790131,60.2751331,0,0,"Viken","none","Råholt"
54,54,"Førde","Norway",8510,"04.12.2013","Europe/Oslo","Førde",5.85092,61.4530923,0,0,"none","none","none"
55,55,"Brumunddal","Norway",8441,"12.07.2010","Europe/Oslo","Brumunddal",10.9394781,60.8809476,0,0,"Innlandet","none","Brumunddal"
56,56,"Levanger","Norway",8411,"05.08.2018","Europe/Oslo","Levanger",11.3004934,63.7463571,0,0,"Trøndelag","none","Levanger"
57,57,"Notodden","Norway",8306,"1/14/18","Europe/Oslo","Notodden",9.2094053,59.6566563,0,"Notodden Municipality","Vestfold og Telemark","none","none"
58,58,"Florø","Norway",8230,"12.07.2010","Europe/Oslo","Florø",5.0314409,61.5994886,0,0,"Vestland","none","Florø"
59,59,"Bryne","Norway",8006,"12.07.2010","Europe/Oslo","Bryne",5.6477347,58.735793,0,0,"Rogaland","none","Bryne"
60,60,"Ås","Norway",7961,"12.07.2010","Europe/Oslo","Ås",10.7930107,59.6864303,0,"Ås Municipality","Viken","none","none"
61,61,"Sæveland","Norway",7736,"10/23/17","Europe/Oslo","Sæveland",10.7467103,59.9256494,0,0,"none","none","none"
62,62,"Verdal","Norway",7154,"05.08.2018","Europe/Oslo","Verdal",11.916895,63.7505981,0,"Verdal Municipality","Trøndelag","none","none"
63,63,"Hammerfest","Norway",6788,"12.02.2016","Europe/Oslo","Hammerfest",23.5717079,70.5308038,0,"Hammerfest Municipality","Troms og Finnmark fylke","none","none"
64,64,"Sogndal","Norway",6700,"4/27/17","Europe/Oslo","Sogndal",6.7880661,61.2974338,0,"Sogndal Municipality","Vestland","none","none"
65,65,"Kopervik","Norway",6507,"12.07.2010","Europe/Oslo","Kopervik",5.306874,59.2837067,0,0,"Rogaland","none","Kopervik"
66,66,"Fetsund","Norway",6441,"8/19/14","Europe/Oslo","Fetsund",11.1624746,59.928982,0,0,"Viken","none","Fetsund"
