"Niveau_1","Niveau_2","Niveau_3","Eksempel","Start_dato","Slut_dato","Resourcer","Fremskridt","Niveau"
"1. Forretningsforståelse","1. Forretningsforståelse","1. Forretningsforståelse","","2021.09.01","2021.10.31","",25,1
"1. Forretningsforståelse","1.1 Afgør forretningsmål","1.1 Afgør forretningsmål","","2021.09.02","2021.09.18","",10,2
"1. Forretningsforståelse","1.1 Afgør forretningsmål","1.1.1 Organisation","","2021.09.03","2021.09.04","",11,3
"1. Forretningsforståelse","1.1 Afgør forretningsmål","1.1.1.1 Udvikle organisationskort","","2021.09.04","2021.09.05","",12,4
"1. Forretningsforståelse","1.1 Afgør forretningsmål","1.1.1.2 Identificer nøglepersoner","","2021.09.05","2021.09.06","",13,4
"1. Forretningsforståelse","1.1 Afgør forretningsmål","1.1.1.3 Identificer en intern sponsor","","2021.09.06","2021.09.07","",14,4
"1. Forretningsforståelse","1.1 Afgør forretningsmål","1.1.1.4 Angiv, om der er en styregruppe","","2021.09.07","2021.09.08","",15,4
"1. Forretningsforståelse","1.1 Afgør forretningsmål","1.1.1.5 Identificer de forretningsenheder, der er berørt af projektet","","2021.09.08","2021.09.09","",16,4
"1. Forretningsforståelse","1.1 Afgør forretningsmål","1.1.2  Problem kompleks","","2021.09.09","2021.09.10","",17,3
"1. Forretningsforståelse","1.1 Afgør forretningsmål","1.1.2.1 Identificer problemkomplekset","","2021.09.10","2021.09.11","",17,4
"1. Forretningsforståelse","1.1 Afgør forretningsmål","1.1.2.2 Beskriv problemet generelt","","2021.09.11","2021.09.12","",17,4
"1. Forretningsforståelse","1.1 Afgør forretningsmål","1.1.2.3 Kontroller den aktuelle status for projektet","","2021.09.12","2021.09.13","",17,4
"1. Forretningsforståelse","1.1 Afgør forretningsmål","1.1.2.4 Afklar forudsætningerne for projektet","","2021.09.13","2021.09.14","",17,4
"1. Forretningsforståelse","1.1 Afgør forretningsmål","1.1.2.5 Identificer målgrupper for projektresultatet","","2021.09.14","2021.09.15","",17,4
"1. Forretningsforståelse","1.1 Afgør forretningsmål","1.1.2.6 Identificer brugernes behov og forventninger","","2021.09.15","2021.09.16","",17,4
"1. Forretningsforståelse","1.1 Afgør forretningsmål","1.2.2.7 Beskriv løsninger, der i øjeblikket bruges til at løse problemet","","2021.09.16","2021.09.17","",17,4
"1. Forretningsforståelse","1.1 Afgør forretningsmål","1.2.2.8 Beskriv fordelene og ulemperne ved den nuværende løsning","","2021.09.17","2021.09.18","",17,4
"1. Forretningsforståelse","1.1 Afgør forretningsmål","1.1.3 Forretningsmål","","2021.09.18","2021.09.22","",17,3
"1. Forretningsforståelse","1.1 Afgør forretningsmål","1.1.3.1 Beskriv uformelt problemkomplekset","","2021.09.19","2021.09.20","",17,4
"1. Forretningsforståelse","1.1 Afgør forretningsmål","1.1.3.2 Angiv alle forretningsspørgsmål så præcist som muligt","","2021.09.20","2021.09.21","",17,4
"1. Forretningsforståelse","1.1 Afgør forretningsmål","1.1.3.3 Angiv forventede forretnings fordele","","2021.09.21","2021.09.22","",17,4
"1. Forretningsforståelse","1.2 Vurdere situation","1.2 Vurdere situation","","2021.09.22","2021.10.02","",87,2
"1. Forretningsforståelse","1.2 Vurdere situation","1.2.1 Identificere hardware","","2021.09.23","2021.09.24","",87,3
"1. Forretningsforståelse","1.2 Vurdere situation","1.2.1.1 Etablere tilgjengeligheten av hardware","","2021.09.24","2021.09.25","",87,4
"1. Forretningsforståelse","1.2 Vurdere situation","1.2.2 Identificere data og viden","","2021.09.25","2021.09.26","",87,3
"1. Forretningsforståelse","1.2 Vurdere situation","1.2.2.1 Identificere data kilder","","2021.09.26","2021.09.27","",87,4
"1. Forretningsforståelse","1.2 Vurdere situation","1.2.2.2 Identificere typer af data kilder","online, eksperter, dokumentation","2021.09.27","2021.09.28","",87,4
"1. Forretningsforståelse","1.2 Vurdere situation","1.2.2.3 Identificere informations kilder","","2021.09.28","2021.09.29","",87,4
"1. Forretningsforståelse","1.2 Vurdere situation","1.2.2.4 Identificere typer af informations kilder","online, eksperter, dokumentation","2021.09.29","2021.09.30","",87,4
"1. Forretningsforståelse","1.2 Vurdere situation","1.2.2.5 Undersøge tilgængelig værktøjer og tekniker","","2021.09.30","2021.10.01","",87,4
"1. Forretningsforståelse","1.2 Vurdere situation","1.2.2.6 Beskriv relevant baggrunds information","","2021.10.01","2021.10.02","",87,4
"1. Forretningsforståelse","1.2 Vurdere situation","1.2.3 Identificere forudsætninger","","2021.10.02","2021.10.07","",87,3
"1. Forretningsforståelse","1.2 Vurdere situation","1.2.3.1 Spesifiser målgruppeprofil","","2021.10.03","2021.10.04","",87,4
"1. Forretningsforståelse","1.2 Vurdere situation","1.2.3.2 Sett alle krav til planlegging","","2021.10.04","2021.10.05","",87,4
"1. Forretningsforståelse","1.2 Vurdere situation","1.2.3.3 Afgør krav til forståelighed, nøjagtighed, implementeringsevne, vedligeholdelsesevne og repeterbarhed","","2021.10.05","2021.10.06","",87,4
"1. Forretningsforståelse","1.2 Vurdere situation","1.2.3.4 Afgør krav til sikkerhed, juridiske begrænsninger, privatliv, rapportering og projektplanlægning","","2021.10.06","2021.10.07","",87,4
"1. Forretningsforståelse","1.2 Vurdere situation","1.2.4 Risici og uforudsete aspekter","","2021.10.07","2021.10.13","",21,3
"1. Forretningsforståelse","1.2 Vurdere situation","1.2.4.1 Identificer forretningsrisiko","konkurrent kommer først med bedre resultater","2021.10.08","2021.10.09","",21,4
"1. Forretningsforståelse","1.2 Vurdere situation","1.2.4.2 Identificer organisatoriske risici","afdelingen har ikke finansiering til projektet","2021.10.09","2021.10.10","",21,4
"1. Forretningsforståelse","1.2 Vurdere situation","1.2.4.3 Identificer økonomiske risici","yderligere finansiering afhænger af de oprindelige data mining resultater","2021.10.10","2021.10.11","",21,4
"1. Forretningsforståelse","1.2 Vurdere situation","1.2.4.4 Identificer tekniske risici","","2021.10.11","2021.10.12","",21,4
"1. Forretningsforståelse","1.2 Vurdere situation","1.2.4.5 Identificer risici, der afhænger af data og datakilder","dårlig data kvalitet og dækning","2021.10.12","2021.10.13","",21,4
"1. Forretningsforståelse","1.2 Vurdere situation","1.2.5 Omkostninger og værdi","","2021.10.13","2021.10.18","",21,3
"1. Forretningsforståelse","1.2 Vurdere situation","1.2.5.1 Estimere data hentning omkostninger","","2021.10.14","2021.10.15","",87,4
"1. Forretningsforståelse","1.2 Vurdere situation","1.2.5.2 Estimere udviklingsomkostninger","","2021.10.15","2021.10.16","",87,4
"1. Forretningsforståelse","1.2 Vurdere situation","1.2.5.3 Identicere værdiforeslag","","2021.10.16","2021.10.17","",87,4
"1. Forretningsforståelse","1.2 Vurdere situation","1.2.5.4 Estimere driftsomkostninger","","2021.10.17","2021.10.18","",87,4
"1. Forretningsforståelse","1.3 Afgøre data mål til koncept","1.3.1 Oversæt til datamål","","2021.10.18","2021.10.24","",21,3
"1. Forretningsforståelse","1.3 Afgøre data mål til koncept","1.3.1.2 Specificere datamålstype","","2021.10.19","2021.10.20","",21,4
"1. Forretningsforståelse","1.3 Afgøre data mål til koncept","1.3.1.3 Specificere problem type","numerisk, heuristisk, analytisk","2021.10.20","2021.10.21","",21,4
"1. Forretningsforståelse","1.3 Afgøre data mål til koncept","1.3.2 Modelvurdering kriterier","f.eks. Modelnøjagtighed, ydeevne og kompleksitet","2021.10.21","2021.10.22","",21,3
"1. Forretningsforståelse","1.3 Afgøre data mål til koncept","1.3.2.2 Definer benchmarks for evaluering","","2021.10.22","2021.10.23","",21,4
"1. Forretningsforståelse","1.3 Afgøre data mål til koncept","1.3.2.3 Subjektive vurderingskriterier","f.eks. Model forklarer evne og data
og markedsføringsindsigt leveret af modellen","2021.10.23","2021.10.24","",21,4
"1. Forretningsforståelse","1.4 Udarbejd projektplan","1.4 Udarbejd projektplan","","2021.10.24","2021.10.31","",21,2
"1. Forretningsforståelse","1.4 Udarbejd projektplan","1.4.1 Definer procesplan og diskutér gennemførligheden","","2021.10.25","2021.10.26","",21,3
"1. Forretningsforståelse","1.4 Udarbejd projektplan","1.4.2 Identificerede mål og udvalgte teknikker","","2021.10.26","2021.10.27","",21,3
