"id","name","installed_capacity_MW","pumping_MW","type","country_code","lat","lon","dam_height_m","volume_Mm3","storage_capacity_MWh","avg_annual_generation_GWh"
"H17","Edolo UP_EDOLO_1 - Edolo Pumped Storage Hydroelectric Power Plant Italy",978,1120,"HPHS","IT",46.172153,10.344367,1265,17.04,4900,""
"H49","S.fiorano",568,210,"HPHS","IT",46.049856,10.351457,1424,38.8,130400,""
"H61","UP_SGIACOMO_3",559,248,"HPHS","IT",42.553001,13.556,656.6,1.69,2600,""
"H39","Centrale di Grosio - Lovero - Stazzona",535.3,"","HDAM","IT",46.489007,10.294052,591,1.2,"",900
"H55","Anapo c.le UP_ANAPO_C.L_1 - Anapo Pumped Storage Power Plant Italy",500,500,"HPHS","IT",37.115761,15.137157,300,5.6,4000,""
"H2","Dinorwig",1800,1728,"HPHS","UK",53.118744,-4.113624,536,6.7,10400,""
"H1018","PENADRADA 1",38,"","HDAM","ES",42.854,-6.459,"","","",""
"H1019","Kierikki",38,"","HROR","FI",65.372222,25.840278,18.2,"","",""
"H102","Polyfyto POLYFYTO - Polyfyto  Hydroelectric Power Plant Greece",375,"","HDAM","EL",40.3305,22.1253,105,1220,342000,584
"H1020","Arcesti",38,"","HDAM","RO",44.449583,24.312917,31,43.4,"",122
"H1021","Calimanesti",38,"","HDAM","RO",45.074583,24.364583,29,44.3,"",106
"H1022","Ionesti",38,"","HDAM","RO",44.857917,24.24625,34,24.9,"",125
"H1023","Zavideni",38,"","HDAM","RO",44.774583,24.27125,30,500,"",120
"H1024","Wyhlen",37.9,"","HROR","DE",47.5523554,7.6580881,"","","",""
"H1025","Argentiere bessee Argentiere-La Bessee Hydroelectric Power Station France - Argentiere-La Bessee Hydroelectric Power Station France",37.51592357,"","HDAM","FR",44.783,6.548,"","","",""
"H1026","Grono",37.5,"","HROR","CH",46.242012,9.153520004,"","","",""
"H1027","Qarrishta 1",37.5,"","HROR","AL",41.21956111,20.30383333,"","","",148
"H1028","Talarn Talarn Hydroelectric Power Plant Spain - Talarn Hydroelectric Power Plant Spain",37.36,"","HDAM","ES",42.17969,0.91314,"","","",""
"H1029","Manosque voix Manosque-Voix Hydroelectric Power Station France - Manosque-Voix Hydroelectric Power Station France",37.18405084,"","HROR","FR",43.877,5.863,"","","",""
"H103","PSHPP_BELMEKEN_1 - Belmeken Pumped Storage Hydroelectric Power Plant Bulgaria",375,104,"HPHS","BG",42.198002,23.862,640,42.72397094,640,321
"H1031","ENTREPENAS 1",37,"","HDAM","ES",40.493,-2.75,343.7,835,"",""
"H65","Kaprun-Oberstufe Limberg",592.8,610,"HPHS","AT",47.275002,12.756,365,88.06,245100,150.4
"H1033","Sikfors",40,"","HDAM","SE",65.525764,21.183168,"","","",""
"H1034","Skedvi",38,"","HDAM","SE",60.398171,15.808669,"","","",""
"H1035","Babeni",37,"","HDAM","RO",44.920417,24.250417,33,59.7,"",120
"H1036","Daesti",37,"","HDAM","RO",45.17875,24.369583,29,11.2,"",107
"H1037","Egets Egets Hydroelectric Power Station France - Egets Hydroelectric Power Station France",36.82484076,"","HDAM","FR",42.955,0.565,"","","",""
"H1038","HE Rijeka",36.8,"","HROR","HR",45.33499908,14.45199966,"","","",99.98
"H1039","Rheinau",36.8,"","HROR","CH",47.63891024,8.601661178,"","","",""
"H104","Miranda",369,"","HROR","PT",41.4886,-6.2656,60,"","",897.8
"H1040","Nußdorf",48,"","HROR","DE",47.74444,12.1348886,"","","",245
"H1042","Grangent Grangent Hydroelectric Power Station France - Grangent Hydroelectric Power Station France",36.52866242,"","HDAM","FR",45.467,4.248,"","","",""
"H1044","Sveta Peka Hydroelectric Power Plant Macedonia - Sveta Peka Hydroelectric Power Plant Macedonia",36.4,"","HDAM","MK",41.9249,21.2647,64,9.775,"",""
"H67","Galleto Nera-Tevere",461,"","HROR","IT",42.5641417,12.6405466,50,"","",""
"H30","Kopswerk 2 M1 - Kops II Pumped Storage Power Plant Austria",525,480,"HPHS","AT",46.975564,10.043049,818,29.25,2300,""
"H1048","Lovons Krv",37,"","HDAM","SE",63.829583,15.642083,16,495,"",142
"H1049","Grytfors",37,"","HDAM","SE",65.295466,19.11352,"","","",""
"H105","Monteynard MONTEYNARD - Monteyard-Avigonnet Hydroelectric Power Station France",366,"","HDAM","FR",44.96118,5.68874,153,275,77900,495
"H92","Orichella Timpagrande Calusia UP_ORTICA_1",414.7,"","HDAM","IT",39.17553,16.780345,1168,135,"",""
"H100","S.massenza - Vezzano molveno UP_S MASS CL_1",377,55,"HPHS","IT",46.067653,10.983605,580.9,32.7,44800,""
"H1052","Uvac Hydroelectric Power Plant Serbia - Uvac Hydroelectric Power Plant Serbia",36,"","HDAM","RS",43.4224,19.9295,"",213,"",""
"H75","Cruachan",440,440,"HPHS","UK",56.394104,-5.114319,46,11.3,7000,""
"H1054","St léonard St-Leonard Hydroelectric Power Plant Switzerland - St-Leonard Hydroelectric Power Plant Switzerland",36,"","HDAM","CH",46.26058771,7.44474053,"","","",""
"H1055","Porttipahta",36,"","HDAM","FI",68.10875,26.722083,38,1353,"",101
"H54","Silz SILZ 1",500,"","HDAM","AT",47.2666667,10.9333333,1465,3,8900,718
"H1057","Letten",36,36,"HPHS","SE",60.712207,12.667535,16,163.4,72120,65
"H1058","Rengard",36,"","HDAM","SE",64.933513,20.046481,"","","",""
"H1059","Aletsch",35.3,"","HROR","CH",46.35397488,8.042760235,"","","",""
"H106","HE Bajina Basta G1 - Bajina Basta Hydroelectric Power Plant Serbia",364,"","HDAM","RS",43.964001,19.41,90,218,30000,""
"H1060","Rosenheim",35.1,"","HROR","DE",47.83825,12.15333,"","","",""
"H1063","Sveg Sveg Hydroelectric Power Plant Sweden - Sveg Hydroelectric Power Plant Sweden",35.54140127,"","HDAM","SE",62.01812,14.2453105,"","","",""
"H1064","Vargön",35.3,"","HDAM","SE",58.355556,12.374444,20,9500,"",158
"H1065","Tanzmühle",35,"","HPHS","DE",49.552216,12.281256,"","","",""
"H159","Bargi UP_BARGI_CEN_1",330,330,"HPHS","IT",44.117039,11.04338,"","",2640,""
"H1068","Augst",35,"","HROR","CH",47.53676241,7.709688481,"","","",""
"H1069","RIBADELAGO 2",35,"","HDAM","ES",42.123001,-6.755,"","","",""
"H107","ORLIK - Orlik Hydroelectric Power Plant Czech Republic",364,"","HDAM","CZ",49.606998,14.182,91,716.5,"",300
"H1070","Enchanet Enchanet Hydroelectric Power Station France - Enchanet Hydroelectric Power Station France",35,"","HDAM","FR",45.082,2.194,"",93,"",66
"H1071","Ilanz stufe tavanasa",34.5,"","HROR","CH",46.77476376,9.195225579,"","","",""
"H1072","Linthal",34.4,"","HDAM","CH",46.91551045,8.987901562,"","","",""
"H1073","Vrhovo HE Vrhovo 1 - Vrhovo Hydroelectric Power Plant Slovenia",34.2,"","HDAM","SI",46.04415,15.22365,27,1.16,"",116
"H1074","Hafen",34.08,"","HROR","CH",49.14914941,8.233982642,"","","",""
"H60","Rodundwerk Rodund 1 2 - Rodund II Pumped Storage Power Plant Austria",493,327,"HPHS","AT",47.084928,9.8778575,353,2.24,1800,""
"H183","Taloro (Gusana - Cucchinadorza - Benzone) UP_TALORO1_1 - Tumuele Baddu Ozzana",314.3,240,"HPHS","IT",40.127148,9.140644,80,67.78,12480,388.505
"H112","Ffestiniog Ffestiniog Pumped Storage Power Station Wales UK - Ffestiniog Pumped Storage Power Station Wales UK",360,360,"HPHS","UK",52.980785,-3.968708,320,1.7,1730,""
"H144","Foyers falls Foyers FOYE-1 - Foyers Pumped Storage Power Station Scotland UK",305,300,"HPHS","UK",57.2553615,-4.493152,"",13.6,6300,226
"H108","Aguayo",360.6,360,"HPHS","ES",43.095804,-4.000656,328,"",3700,""
"H1081","QUERENO GR, 1",34,"","HDAM","ES",42.417,-6.832,"","","",""
"H1082","Obermatt",33.92,"","HROR","CH",46.8425235,8.372585756,"","","",""
"H1083","Bistrica I",22.5,"","HDAM","AL",39.9511,20.09778,23,0.58,"",100
"H1084","Le furcil",33.408,"","HROR","CH",47.03731052,6.752899473,"","","",""
"H1085","Pallazuit",33.4,"","HDAM","CH",45.98108849,7.189492432,"","","",""
"H1086","Göschenen andermatt",33.26,"","HDAM","CH",46.66736286,8.585314102,"","","",""
"H1087","SAN JUAN 1",33,"","HDAM","ES",40.373001,-4.312,276.6,138,104000,""
"H80","Reisseck Reisseck-Jahresspeicher-KW - Kolbnitz (Reisseck/Kreuzeck) Hydroelectric Power Plant Austria",430,"","HPHS","AT",47.0791667,13.3391667,46.5,7.8,31200,""
"H109","Aigle AIGLE 6 - L'Aigle Hydroelectric Generating Station France",360,"","HDAM","FR",45.24373,2.22483,92,220,"",""
"H1091","Ernen ERNE UNIT 3",33,"","HROR","CH",46.39116874,8.13015041,"","","",""
"H1092","SANTA MARINA 1",33,"","HDAM","ES",42.668999,-6.512,"","","",""
"H1094","Boštanj HE Bostanj 1 - Bostanj Hydroelectric Power Plant Slovenia",32.52,"","HROR","SI",46.01704,15.28121,"","","",109
"H93","Kaunertal",392,"","HDAM","AT",47.067783,10.665211,153,140,278800,661
"H111","Häusling Haeusling-KW - Haeusling Pumped Storage Power Plant Austria",360,"","HPHS","AT",47.146432,11.967219,186,86.7,244300,175.2
"H1097","Peltokoski",32.3,"","HROR","FI",60.14982,23.83376,"","","",""
"H1098","Vinon Vinon Hydroelectric Power Station France - Vinon Hydroelectric Power Station France",32.08598726,"","HDAM","FR",43.725,5.827,"","","",""
"H11","HE Derdap 1 G1 - Djerdap-1 (Iron Gate I) Hydroelectric Power Station Serbia",1083,"","HDAM","RS",44.668999,22.527,60,2100,343350,5650
"H110","Piva_G1 - Piva (Mratinje) Hydroelectric Power Plant Montenegro",360,"","HDAM","ME",43.272999,18.841999,190,790,"",860
"H3410","Obervermuntwerk II",360,360,"HPHS","AT",46.936111,10.0625,291,35.63076923,134690,""
"H115","Mayrhofen-KW - Mayrhofen Storage Power Plant Austria",355,"","HDAM","AT",47.158171,11.850272,744,6.6,7400,671.2
"H1103","Spjutmo",35,"","HDAM","SE",61.083948,14.318083,"","","",""
"H3411","Centrale di Premadio - S. Giacomo",254.5,"","HDAM","IT",46.4862865,10.3492706,651,187,"",""
"H196","Venaus UP_VENAUS_1 (Venasco)",244.2,"","HDAM","IT",45.161887,7.008396,"","","",273
"H226","Fadalto UP_FADALTO_1",240,210,"HPHS","IT",46.028439,12.300677,"","","",""
"H282","Naturno UP_CNTRLNTRNO_11",230,"","HDAM","IT",46.651148,10.993403,"","","",""
"H129","Altenwörth Altenwoerth-KW - Altenwoerth Hydroelectric Power Plant Austria",328,"","HROR","AT",48.374728,15.855343,37,"","",1967
"H152","Greifenstein Greifenstein-KW - Greifenstein Hydroelectric Power Plant Austria",293,"","HROR","AT",48.355951,16.241844,"","","",1717
"H153","KUHTAI 1",292,242,"HPHS","AT",47.208,11.006,"",2.2,2700,""
"H1110","Tabescan",32,"","HDAM","ES",42.646,1.26,"","","",""
"H1111","Solkan HE Solkan 1 - Solkan Hydroelectric Poqwer Plant Slovenia",31.98,"","HROR","SI",45.98441,13.65506,"","","",""
"H1113","Allement Allement Hydroelectric Power Station France - Allement Hydroelectric Power Station France",31.59235669,"","HDAM","FR",46.112,5.422,"","","",""
"H1114","Hričov Hricov Hydroelectric Power Plant Slovakia - Hricov Hydroelectric Power Plant Slovakia",31.5,"","HROR","SK",49.25737,18.68102,"","","",""
"H156","Aschach Aschach-KW - Aschach Hydroelectric Power Plant Austria",287,"","HROR","AT",48.385414,14.0227,34,"","",1686
"H1116","Laforsen",32,"","HROR","SE",61.937373,15.521949,"","","",""
"H1117","Upm schwedt",31.3,"","HROR","DE",50.8009765,13.2101955,"","","",""
"H1118","Beli Iskar + Mala Tsarkva + Simeonovo HPP",31.3,"","HDAM","BG",42.1373,23.5691,1160,15.1,"",69.3
"H324","Sloy SLOY SLOY-1 - Loch Sloy Hydroelectric Power Plant UK",152.5,"","HDAM","UK",56.261512,-4.763588,56,35.679,"",130
"H1122","Karsefors",31.4,"","HDAM","SE",56.501729,13.11362,"","","",""
"H198","Cimego UP_CIMEGO_1",229.9,"","HDAM","IT",45.923109,10.628414,738,12.26,"",388
"H1124","Montbovon",31,"","HROR","CH",46.48795246,7.048316905,"","","",""
"H188","Lünerseewerk Luenersee Pumped Storage Power Plant Austria - Luenersee Pumped Storage Power Plant Austria",280,224,"HDAM","AT",47.074251,9.874371,974,78.3,"",371
"H1126","Sault brenaz Sault Brenaz Hydroelectric Power Station France - Sault Brenaz Hydroelectric Power Station France",30.42331432,"","HROR","FR",45.846,5.418,"","","",""
"H1127","Oo Hydroelectric Power Station France - Oo Hydroelectric Power Station France",30,"","HDAM","FR",42.804,0.56,15,19.5,"",""
"H174","Ybbs persenbeug Ybbs-Persenbeug-KW - Ybbs-Persenburg Hydroelectric Power Plant Austria",254,"","HROR","AT",48.189357,15.067755,"","","",1335
"H178","Kopswerk I - Kops I Hydroelectric Power Plant Austria",245,"","HDAM","AT",46.976121,10.05145,122,13.65,"",""
"H1133","Sädvajaur sädva",31,"","HDAM","SE",66.467003,16.549485,31,605,"",118
"H224","Soverzene UP_SOVERZENE_1",213.5,"","HDAM","IT",46.201029,12.302334,284,5.9,"",710
"H258","Lanzada UP_LANZADA_1",212,"","HDAM","IT",46.268585,9.877013,174,68,"",""
"H273","S. floriano UP_SFLORIANO_2",180,"","HROR","IT",46.290466,11.245401,"","","",""
"H210","Somplago UP_TAGLIAMENTO_1",172.8,"","HDAM","IT",46.343237,13.067161,280,3.4,"",""
"H294","Mese UP_MESE_1",172.6,"","HROR","IT",46.304613,9.376503,"","","",523
"H182","Kaprun hauptstufe Kaprun-Hauptstufe-KW Limberg",240,"","HDAM","AT",47.259591,12.738799,858,81.17,159900,""
"H114","Villarodin VILLARODIN 1 - Villarodin Hydroelectric Power Station France",357,"","HDAM","FR",45.21466,6.71208,120,333,689900,660
"H1140","Pec Mlini Hydroelectric Power Plant Bosnia and Herzegovina - Pec Mlini Hydroelectric Power Plant Bosnia and Herzegovina",30,"","HDAM","BA",43.3375,17.3261,"",0.8,"",""
"H1141","Jajce II Hidroelektrana Bosnia and Herzegovin - Jajce II Hidroelektrana Bosnia and Herzegovin",30,"","HDAM","BA",44.4279,17.2404,"",1.3,"",""
"H1142","HE Doblar 1 - Doblar I Hydroelectric Poqwer Plant Slovenia",30,"","HDAM","SI",46.119999,13.69,"",3.6,"",""
"H1146","Chanrion",30,"","HROR","CH",45.99977203,7.350620833,"","","",""
"H1147","Les clées",30,"","HROR","CH",46.73112688,6.444992521,"","","",""
"H1148","Kuusankoski hydropower plant",30,"","HROR","FI",60.868056,26.70416,"","","",195
"H1149","Voikkaa hydropower plant",30,"","HROR","FI",60.868056,26.70416,"","","",""
"H194","Roßhag Rosshag-KW - Rosshag Pumped Storage Power Plant Austria",231,"","HDAM","AT",47.086876,11.774061,131,126.5,331100,""
"H1150","Costeshti Stinka / Stanca",30,"","HDAM","RO",47.84125,27.225417,43,1290,"",65
"H1152","Beaumont Beaumont Hydroelectric Power Station France - Beaumont Hydroelectric Power Station France",29.74724067,"","HROR","FR",43.735,5.753,"","","",""
"H1153","Saut mortier Saut Mortier Hydroelectric Power Station France - Saut Mortier Hydroelectric Power Station France",29.74724067,"","HROR","FR",46.372,5.642,"","","",""
"H1154","Marcillac - barrage la Valette",30,"","HDAM","FR",45.215,2.038,230,31,"",70
"H1155","Val beynette Val Beynette Hydroelectric Power Station France - Val Beynette Hydroelectric Power Station France",29.61783439,"","HDAM","FR",45.416,2.372,"","","",""
"H304","Taio S.Giustina Mezzocorona UP_NOCE_1",161,"","HDAM","IT",46.326132,11.063244,"","","",""
"H333","Pont ventoux",150,75,"HPHS","IT",45.141299,6.962786,520,"",540,""
"H116","DONZERE MONDRAGON - Bollene Hydroelectric Power Station France",345,"","HROR","FR",44.304001,4.742,26.7,"","",2032
"H130","Edison VENINA (UP_ALTOADDA_1)",146,"","HDAM","IT",46.160365,9.936609,"",11,"",276
"H343","Sondrio UP_SONDRIO_1",144,"","HDAM","IT",46.286138,10.265884,"","","",410
"H1162","SOBRON 1",29,"","HDAM","ES",42.820999,-3.157,"","","",""
"H1163","Galbeni",29,"","HDAM","RO",46.457917,26.952083,24,38.8,"",75
"H1164","Schaffhausen",28.9,"","HROR","CH",47.69312439,8.63042746,"","","",""
"H1166","Auzerette Auzerette Hydroelectric Power Station France - Auzerette Hydroelectric Power Station France",28.63057325,"","HDAM","FR",45.365,2.646,"","","",""
"H225","Wallsee mitterkirchen Wallsee-Mitterkirchen-KW - Wallsee- Mitterkirchen Hydroelectric Power Plant Austria",210,"","HROR","AT",48.166415,14.695103,"","","",1318
"H1168","Bannwil",28.5,"","HROR","CH",47.22937261,7.732298272,"","","",""
"H1169","Albbruck dogern",28.4,"","HROR","CH",47.58581763,8.132939485,"","","",""
"H1170","Lot Lot Hydroelectric Power Station France - Lot Hydroelectric Power Station France",28.23566879,"","HDAM","FR",44.663,2.664,"","","",""
"H242","Gerlos Gerlos-KW - Gerlos I-II Hydroelectric Power Plant Austria",200,"","HDAM","AT",47.233704,11.899669,610.5,0.85,1200,320.3
"H1172","Niederenbach",28.2,"","HDAM","CH",46.9957287,9.087131055,"","","",""
"H1173","Mokrice",28.05,"","HROR","SI",45.87102,15.67196,"","","",131
"H261","Melk Melk-KW - Melk Hydroelectric Power Plant Austria",187,"","HROR","AT",48.223472,15.304143,"","","",1221
"H375","Gargnano UP_GARGNANO_1",140,137,"HPHS","IT",45.703881,10.686097,431,"","",""
"H371","Provvidenza UP_PROVVIDEN_1",139,141,"HPHS","IT",42.511133,13.410606,"",217,147200,""
"H1178","Kraftwerksgruppe pfreimd",28,"","HROR","DE",49.55226,12.28127,"","","",""
"H278","Ottensheim wilhering Ottensheim-Wilhering-KW - Ottenheim-Wilhering Hydroelectric Power Plant Austria",179,"","HROR","AT",48.3165,14.151057,"","","",1153
"H1180","Spanchevo HPP",28,"","HDAM","BG",41.56265,23.56559,438,0.04,"",""
"H1185","Dernier",28,"","HDAM","CH",46.70209956,6.349937545,"","","",""
"H1186","ZUJAR",28,"","HDAM","ES",38.917,-5.479,"","","",""
"H1188","Kiskore hungary Kiskore Hydroelectric Power Plant Hungary - Kiskore Hydroelectric Power Plant Hungary",28,"","HDAM","HU",47.493163,20.514556,6.25,228.6,"",""
"H1189","Moux charmines Moux Charmines Hydroelectric Power Station France - Moux Charmines Hydroelectric Power Station France",27.6433121,"","HDAM","FR",46.277,5.554,"","","",""
"H119","Turlough hill Turlough Hill Unit 1 - Turlough Hill (Tomaneena) Pumped Storage Hydroelectric Power Plant Ireland",292,292,"HPHS","IE",53.0280556,-6.3930556,"",2.3,1800,""
"H1190","Wettingen dotieranlage",27.45,"","HROR","CH",47.45672815,8.32116358,"","","",""
"H1192","Licq atherey Licq-Atherey Hydroelectric Power Station France - Licq-Atherey Hydroelectric Power Station France",27.05095541,"","HDAM","FR",43.048,-0.886,"","","",""
"H1193","Kamyk republic Kamyk Hydroelectric Power Plant Czech Republic - Kamyk Hydroelectric Power Plant Czech Republic",27.04294606,"","HROR","CZ",49.633,14.2468,24,12.8,"",""
"H284","Wien freudenau Freudenau-KW - Freudenau Hydroelectric Power Plant Austria",172,"","HROR","AT",48.176872,16.481754,"","","",1052
"H290","Abwinden asten Abwinden-Asten-KW - Abwinden-Asten Hydroelectric Power Plant Austria",168,"","HROR","AT",48.248186,14.429929,"","","",995
"H1198","Parteboda",30,"","HROR","SE",62.517539,15.691329,"","","",""
"H1199","Aufkirchen",27,"","HROR","DE",48.3066864,11.858847,"","","",""
"H12","Goldisthal PSW Goldisthal PSS A - Goldisthal Pumped Storage Power Plant Germany",1060,1060,"HPHS","DE",50.50975864,11.02087498,302,12,8050,""
"H1200","Klippen",27,"","HDAM","SE",56.123701,13.11603,65,357,"",100
"H408","Entracque rovina UP_ETQ_ROVINA_1 - Entracque Chiotas-Piastra Pumped Storage Power Plant Italy",134,134,"HPHS","IT",44.22573,7.39012,598,"",2000,""
"H380","Morasco",133,"","HDAM","IT",46.376886,8.425713,64,26,"",""
"H1203","Robbia",27,"","HDAM","CH",46.34826422,10.06109217,"","","",""
"H1204","REGUEIRO (MAO) 1",27,"","HDAM","ES",42.342999,-7.475,"","","",""
"H1205","Kaltimo",27,"","HROR","FI",62.807917,30.179583,30,2000,"",14
"H1206","Kurkiaska",27,"","HROR","FI",67.4167,26.6,"","","",83.1
"H1207","Siuronkoski",26.56,"","HROR","DE",49.29579526,10.67152366,"","","",""
"H1208","Neuägeri gmde menzingen",26.44,"","HROR","CH",47.70069822,10.62564126,"","","",""
"H1209","Orsières",26.4,"","HROR","CH",46.02109359,7.142307646,"","","",""
"H121","Bitsch",340,"","HDAM","CH",46.33364617,8.00759904,750,9.2,16300,563.5
"H1210","Beauvoir Beauvoir Hydroelectric Power Station France - Beauvoir Hydroelectric Power Station France",26.36687241,"","HROR","FR",45.121,5.319,"","","",""
"H1211","Dobšiná",26.32,"","HPHS","SK",48.80591,20.38578,"","","",""
"H1212","Dravograd HE Dravograd 1 - Dravograd Hydroelectric Poqwer Plant Slovenia",26.19,"","HROR","SI",46.58558,15.01881,"","","",142
"H262","Vermuntwerk Vermunt Hydroelectric Power Plant Austria",157,"","HDAM","AT",46.96845,10.05986,53,5.3,"",""
"H1217","Öjeforsen",27,"","HDAM","SE",62.486721,16.067976,"","","",""
"H1218","Asele",27,"","HDAM","SE",64.098361,17.306503,"","","",""
"H1219","Eitting",26,"","HROR","DE",48.3585905,11.8821921,"","","",""
"H122","Aguieira - G1 - Aguieira Hydroelectric Power Plant Brazil",336,270,"HPHS","PT",40.340285,-8.196778,71.6,304,39200,209
"H1220","Ewz",26,"","HROR","CH",46.70408174,9.464068527,"","","",""
"H1221","Neubrigg",26,"","HROR","CH",46.39618146,8.134244927,"","","",""
"H1222","Rabiusa realta",26,"","HROR","CH",46.76491138,9.417903085,"","","",""
"H394","Valpelline UP_VALPELLIN_1",130,"","HDAM","IT",45.825196,7.333163,962,105.48,"",330
"H405","Avise UP_AVISE_1",126.5,"","HDAM","IT",45.700913,7.193059,972,2.345,"",""
"H362","Feldsee Kraftwerk Feldsee - Feldsee Pumped Storage Power Plant Austria",140,"","HPHS","AT",46.9985746,13.0418733,"",1.65,"",""
"H247","Jochenstein Jochenstein Hydroelectric Power Plant Austria - Jochenstein Hydroelectric Power Plant Austria",66,"","HROR","AT",48.5191878,13.7079666,"","","",850
"H123","Raul Mare (Retezat) Hydroelectric Power Station Romania - Raul Mare (Retezat) Hydroelectric Power Station Romania",335,"","HDAM","RO",45.3391,22.7213,168,220,"",650
"H1232","Tiefencastel west",26,"","HROR","CH",46.66440166,9.562703474,"","","",""
"H1233","Slatina",26,"","HDAM","RO",44.407917,24.354583,26,19.2,"",82
"H1234","Santa Luzia",25.9,"","HDAM","PT",40.5,-7.51,76,50.5,34200,54
"H1235","Nové mesto Nove Mesto n,V, Hydroelectric Power Plant Slovakia - Nove Mesto n,V, Hydroelectric Power Plant Slovakia",25.7,"","HROR","SK",48.77245,17.85146,"","","",""
"H1236","Beznau",25.7,"","HROR","CH",47.55780513,8.23714123,"","","",""
"H36","Żarnowiec Zarnowiec H1 - Zarnowiec Pumped Storage Hydroelectric Power Plant Poland",716,800,"HPHS","PL",54.722272,18.082356,119.3,"",6000,""
"H1238","Horná streda Horna Streda Hydroelectric Power Plant Slovakia - Horna Streda Hydroelectric Power Plant Slovakia",25.5,"","HROR","SK",48.66046,17.85503,"","","",""
"H1239","Kostolná Kostolna Hydroelectric Power Plant Slovakia - Kostolna Hydroelectric Power Plant Slovakia",25.5,"","HROR","SK",48.86096,17.96874,"","","",""
"H124","Pournari",334,"","HDAM","EL",39.1845,21.0255,87,730,50000,540
"H1240","Dabbsjö",26,"","HDAM","SE",64.607742,15.465791,45,337,"",97
"H1241","LA SERENA",25,"","HDAM","ES",38.912998,-5.413,125,3219,421000,""
"H425","Malta oberstufe Malta-Oberstufe-KW - Malta Oberstufe Pumped Storage Power Plant Austria",120,"","HDAM","AT",47.065944,13.353102,200,200,588300,37.4
"H427","Schwarzach Kaprun-Schwarzach-KW Limberg",120,"","HDAM","AT",47.315375,13.138786,138.7,1.8,"",482
"H478","Oschenik innerfragant Innerfragant Pumped Storage Power Plant Austria - Innerfragant Pumped Storage Power Plant Austria",108,100,"HPHS","AT",47.1374819,12.3273397,110,30,"",""
"H487","KW Laufenburg",106,"","HROR","AT",47.662998,13.607,"","","",""
"H1047","Hintermuhr",104,86,"HPHS","AT",47.79940564,13.04399014,"",15,"",""
"H125","Juktan",26,"","HDAM","SE",65.29,17.22,275,"","",""
"H1250","Medvode HE Medvode 1 - Medvode Hydroelectric Poqwer Plant Slovenia",25,"","HDAM","SI",46.14578,14.41438,30,7,"",77
"H1251","Gars",25,"","HROR","DE",48.15395,12.31107,"","","",""
"H1252","Geisling",25,"","HROR","DE",48.974806,12.344002,"","","",""
"H1253","Broc",25,"","HROR","CH",46.60985762,7.109306753,"","","",""
"H1254","Teufelsbruck",25,"","HROR","DE",48.05736,12.22093,"","","",""
"H1255","Uppenborn",25,"","HROR","DE",48.473474,11.95481,"","","",""
"H1256","Juktans Storjuktan- Dammen",26,"","HDAM","SE",65.292975,17.2233,22,577,"",""
"H423","Cardano UP_CARDANO_1",121,"","HROR","IT",46.494973,11.395485,"","","",""
"H428","Lana UP_LANA_1",120,"","HROR","IT",46.6073775,11.1613274,"","","",""
"H429","Isola serafini",120,"","HROR","IT",45.089969,9.93657,"","","",""
"H126","Trängslet Trangslet G1 - Trängslet Hydroelectric Power Plant Sweden",330,"","HDAM","SE",61.381645,13.731379,125,880,"",670
